dimension,polo,n,pct
d1_involucrado_informacional,involucrado,450,15.1
d1_involucrado_informacional,neutro,2133,71.3
d1_involucrado_informacional,informacional,407,13.6
d2_narrativo,narrativo,398,13.3
d2_narrativo,neutro,2130,71.2
d2_narrativo,no_narrativo,462,15.5
d3_ref_explicita,ref_explicita,444,14.8
d3_ref_explicita,neutro,2081,69.6
d3_ref_explicita,ref_contextual,465,15.6
d4_persuasion,persuasivo,383,12.8
d4_persuasion,neutro,2273,76.0
d4_persuasion,no_persuasivo,334,11.2
d5_abstracto,abstracto,407,13.6
d5_abstracto,neutro,2195,73.4
d5_abstracto,no_abstracto,388,13.0
d6_elaboracion,elaborado,447,14.9
d6_elaboracion,neutro,1995,66.7
d6_elaboracion,no_elaborado,548,18.3
