,sust_densidad,adj_densidad,verb_densidad,fv_indicativo,fv_subjuntivo,conj_pero,conj_porque,adv_modo,disc_emocionalidad,foco_voz_activa,plano_auto,plano_ref,canal_visual,canal_kinestesico,tl_conductas,tl_interpretaciones,cre_sustantiva,cre_condicional,lente_salud,lente_sentido,fal_sustantiva,fal_verbal,fal_complejidad,inf_causal,inf_validez,gob_declarada_vs_ejecutada,acd_distancia_id_ir,resp_sujeto_explicito,eval_brecha_como_problema,nodo_rigidez,int_01_logico_matematica,int_08_social,int_12_narrativa,p_03_critico,p_02_sistemico,modo_proceso,modo_relacion,profundidad_estructura,h01_confirmacion,h04_autoridad_implicita,h12_granularidad_falsa,h14_causalidad_narrativa,h22_validacion_social,h25_aversion_perdida,h26_framing,h55_atribucion_autoservicio,h62_difusion_resp_cognitiva,h77_reificacion_categorias
sust_densidad,1.0000,0.1136,-0.3248,-0.2256,-0.1046,-0.1765,-0.0845,-0.2086,-0.1738,-0.3273,-0.1439,0.0563,-0.1141,-0.1240,-0.2077,0.0025,-0.0982,-0.0762,0.0588,-0.0264,0.1707,-0.0377,0.0532,-0.0290,-0.0974,-0.0767,-0.0695,-0.2774,-0.0824,0.1972,0.0668,-0.1503,-0.1514,-0.0622,0.1904,0.0634,-0.0049,0.1722,-0.0487,-0.0691,-0.0570,-0.1144,-0.0829,-0.0724,-0.1431,-0.0338,-0.0245,0.0608
adj_densidad,0.1136,1.0000,0.0419,0.0195,-0.0341,0.0644,0.0296,0.2739,0.2495,-0.0168,0.0039,-0.0176,0.1618,0.1762,-0.2182,0.2236,0.2261,0.0289,0.1258,0.1407,0.1877,0.1350,0.1543,0.1024,0.0949,0.0728,0.0885,-0.1350,0.0496,0.0752,0.0804,0.0071,-0.0399,0.1241,0.1559,0.0574,0.0781,-0.1097,0.1118,0.2523,0.0655,0.0753,0.0672,0.0562,0.2010,-0.0070,-0.0204,0.1982
verb_densidad,-0.3248,0.0419,1.0000,0.2934,0.2200,0.4203,0.2456,0.4784,0.2982,0.3281,0.3303,-0.2172,0.1903,0.2635,0.2067,0.1548,0.3402,0.2585,0.0476,0.2441,0.1215,0.2888,0.2931,0.2914,0.3480,0.3265,0.3264,0.5453,0.3216,-0.2896,-0.0684,0.3491,0.4487,0.2859,0.0628,0.2685,0.2547,-0.1193,0.2494,0.2712,0.1302,0.4333,0.1262,0.2201,0.3301,0.1153,0.1007,0.2165
fv_indicativo,-0.2256,0.0195,0.2934,1.0000,-0.2765,0.0938,0.0812,0.1607,0.0673,0.5863,0.0564,0.1092,0.0615,0.0344,0.2143,0.1258,0.1077,-0.0703,0.0501,0.0557,-0.0300,0.0581,0.0487,0.0396,0.1581,0.0516,0.0486,0.2516,0.0302,-0.1072,0.0475,0.0991,0.1479,0.0475,0.0340,0.0759,0.1182,0.0685,0.0315,0.0919,0.0400,0.0824,0.0361,0.0139,0.0705,0.0267,0.0170,0.0258
fv_subjuntivo,-0.1046,-0.0341,0.2200,-0.2765,1.0000,0.0958,0.0625,0.1843,0.0879,0.0948,0.0736,-0.0281,0.0309,0.0787,0.0353,0.1687,0.0975,0.3347,0.0428,0.2019,0.1042,0.1115,0.2708,0.1920,0.1257,0.1265,0.1579,0.1066,0.1805,-0.1321,-0.0719,0.1629,0.0673,0.1536,0.1575,0.1798,0.1202,-0.0626,0.0869,0.1518,0.0275,0.1347,0.0657,0.1106,0.1564,0.0198,0.0609,0.1149
conj_pero,-0.1765,0.0644,0.4203,0.0938,0.0958,1.0000,0.2666,0.3875,0.2709,0.1137,0.3725,-0.2686,0.1762,0.2296,-0.0574,0.2092,0.2749,0.2560,0.0080,0.2356,0.1238,0.2623,0.2901,0.2581,0.2587,0.3423,0.3574,0.3039,0.3475,-0.2133,-0.0237,0.2721,0.3625,0.4033,0.0558,0.1235,0.2479,-0.1131,0.2174,0.2188,0.1272,0.3960,0.0972,0.1967,0.2393,0.0921,0.1326,0.1716
conj_porque,-0.0845,0.0296,0.2456,0.0812,0.0625,0.2666,1.0000,0.2924,0.1582,0.0587,0.2116,-0.1464,0.0732,0.1299,-0.0639,0.1569,0.2219,0.2650,0.0595,0.1890,0.1472,0.1849,0.2677,0.3944,0.2366,0.2365,0.2269,0.1326,0.2243,-0.0706,0.0728,0.1792,0.1404,0.2394,0.1148,0.0908,0.2058,-0.0484,0.2238,0.2168,0.0949,0.3132,0.0854,0.1552,0.1939,0.0911,0.1039,0.1810
adv_modo,-0.2086,0.2739,0.4784,0.1607,0.1843,0.3875,0.2924,1.0000,0.3597,0.1910,0.3219,-0.2399,0.2399,0.3228,0.0273,0.2040,0.2953,0.2727,0.0895,0.2328,0.1457,0.2420,0.2600,0.2386,0.2565,0.2498,0.2680,0.2393,0.2452,-0.2298,-0.0212,0.2513,0.2455,0.3003,0.0817,0.1906,0.2192,-0.1878,0.2217,0.2514,0.1106,0.3040,0.1187,0.1521,0.2736,0.0819,0.0774,0.1689
disc_emocionalidad,-0.1738,0.2495,0.2982,0.0673,0.0879,0.2709,0.1582,0.3597,1.0000,0.1590,0.4393,-0.3834,0.3430,0.6523,-0.0669,0.1924,0.2649,0.1388,-0.1463,0.3198,0.2171,0.2684,0.1156,0.1091,-0.0063,0.2055,0.2568,0.2045,0.1990,-0.1598,-0.1706,0.3854,0.3143,0.2013,-0.1353,-0.0895,0.2449,-0.3082,0.2804,0.2079,0.0753,0.2379,0.1444,0.1255,0.2556,0.1099,0.0414,0.1813
foco_voz_activa,-0.3273,-0.0168,0.3281,0.5863,0.0948,0.1137,0.0587,0.1910,0.1590,1.0000,0.1261,-0.0096,0.1111,0.0903,0.2257,0.1259,0.0915,0.0436,-0.0478,0.1327,-0.0233,0.0200,-0.0145,0.0238,0.0795,0.0176,0.0375,0.3331,0.0080,-0.2205,-0.1154,0.1650,0.1240,0.0467,-0.0845,-0.0161,0.0622,-0.0756,0.0404,0.1078,0.0162,0.0545,0.0429,0.0143,0.0997,0.0235,-0.0046,0.0159
